csd_code,year,muni_id,MUNID,LOCALID,muni_name,intvoting,paper_ballots_eliminated,adv_only,p_int_votes,no_reg_barrier,cd_csd_code,cd_name,cd_code,subd_name,census_subd_code,pop,area_kmsq,pop_den,p_uni,unemploy,p_65_plus,median_inc,p_imm
43005,2014,m080,43030,43030,Clearview,1,1,0,0.7,1,3543005,Simcoe,3543,Clearview,5,13853.50685,557.4564384,24.85128146,0.102407623,8.554794521,0.180954325,32976.49315,0.064778629
14021,2014,m082,14021,14021,Cobourg,1,1,0,0.869,1,3514021,Northumberland,3514,Cobourg,21,19158.53425,22.37,856.4387236,0.114010225,8.916438356,0.29788125,33715.42466,0.139085103
47096,2014,m092,47096,47096,Deep River,1,1,0,0.796,1,3547096,Renfrew,3547,Deep River,96,4236.452055,50.8909589,83.24567165,0.156007716,5.597260274,0.240324289,45293.0274,0.16393942
2001,2014,m105,2001,2001,East Hawkesbury,1,1,0,0.617,1,3502001,Prescott and Russell,3502,East Hawkesbury,1,3303.438356,235.1923288,14.04568922,0.090359237,2.149315068,0.17501726,32358.12329,0.053418369
7004,2014,m107,7003,7003,Edwardsburgh/Cardinal,1,0,0,0.497,1,3507004,Leeds and Grenville,3507,Edwardsburgh/Cardinal,4,7004.616438,312.3120548,22.42826151,0.114349625,10.98356164,0.185513394,33183.80822,0.048126644
7014,2014,m108,7011,7011,Elizabethtown-Kitley,1,0,0,0.66,1,3507014,Leeds and Grenville,3507,Elizabethtown-Kitley,14,9751.863014,558.2646575,17.46817192,0.090740716,6.569863014,0.229238989,34494.67123,0.052998124
10005,2014,m124,10002,10002,Frontenac Islands,1,0,0,0.59,1,3510005,Frontenac,3510,Frontenac Islands,5,1993.150685,175.0468493,11.38638423,0.198521037,3.691780822,0.224738708,39266.79452,0.065538399
7024,2014,m125,7024,7024,Gananoque,1,0,0,0.648,1,3507024,Leeds and Grenville,3507,Gananoque,24,5249.424658,6.84890411,766.4619877,0.09398246,4.780821918,0.242640115,30019.54795,0.063843703
11015,2014,m137,11010,11010,Greater Napanee,1,1,0,0.654,1,3511015,Lennox and Addington,3511,Greater Napanee,15,15680.39726,461.5291781,33.97487744,0.081532669,7.91369863,0.225494848,31166.50685,0.049563964
53005,2014,m138,53005,53005,Greater Sudbury,1,0,1,0.45,1,3553005,Greater Sudbury / Grand Sudbury,3553,Greater Sudbury,5,162122.8493,3142.577808,51.58912816,0.140378896,7.052054795,0.173422256,36689.46575,0.059813475
